api_name,wip,latency,throughput
ballerina/http/Client#get#http://postman-echo.com,0.0687576,713.635,0.0963483999999999
ballerina/http/Client#get#http://postman-echo.com,0.103417,354.204,0.291971
ballerina/http/Client#get#http://postman-echo.com,0.0479281,493.5630000000001,0.0971062
ballerina/http/Client#get#http://postman-echo.com,0.0419688,504.088,0.083257
ballerina/http/Client#get#http://postman-echo.com,0.0216412,227.904,0.0949577
ballerina/http/Client#get#http://postman-echo.com,0.0577549999999999,593.086,0.0973805
ballerina/http/Client#get#http://www.mocky.io,0.430313,548.2180000000001,0.784929
ballerina/http/Client#get#http://www.mocky.io,0.396922,492.1830000000001,0.8064520000000001
ballerina/http/Client#get#http://www.mocky.io,0.0286802,286.802,0.1
ballerina/http/Client#get#http://www.mocky.io,0.0222599,74.1996,0.3
ballerina/http/Client#get#http://www.mocky.io,0.00724555,72.4555,0.1
ballerina/http/Client#get#http://www.mocky.io,0.0501332,167.09400000000002,0.30003
ballerina/http/Client#get#http://www.mocky.io,0.00727857,72.7857,0.1
ballerina/http/Client#get#http://www.mocky.io,0.0075316,75.3235,0.09999
ballerina/http/Client#get#http://www.mocky.io,0.0145104999999999,72.5526,0.2
ballerina/http/Client#get#http://www.mocky.io,0.0358181999999999,358.182,0.1
ballerina/http/Client#get#http://www.mocky.io,0.0299403,74.8508,0.4
ballerina/http/Client#get#http://www.mocky.io,0.0221143,73.7142,0.3
ballerina/http/Client#get#http://www.mocky.io,0.0074191,74.1984,0.09999
ballerina/http/Client#get#http://www.mocky.io,0.0376218,188.109,0.2
ballerina/http/Client#get#http://www.mocky.io,0.0148975,74.4873,0.2
ballerina/http/Client#get#http://www.mocky.io,0.00739303,73.9303,0.1
ballerina/http/Client#get#http://www.mocky.io,0.0466913,233.456,0.2
ballerina/http/Client#get#http://www.mocky.io,0.0150858,75.4367,0.19998
ballerina/http/Client#get#http://www.mocky.io,0.0444274,223.025,0.199203
ballerina/http/Client#get#http://www.mocky.io,0.0152568999999999,76.8111,0.198629
ballerina/http/Client#get#http://www.mocky.io,0.0151098999999999,75.9421,0.198965
ballerina/http/Client#get#http://www.mocky.io,0.430797,637.58,0.675676
ballerina/http/Client#get#http://www.mocky.io,0.4517029999999999,499.584,0.904159
ballerina/http/Client#get#http://www.mocky.io,0.397841,558.1709999999999,0.712758
ballerina/http/Client#get#http://postman-echo.com,0.0390053,570.257,0.0683995
ballerina/http/Client#get#http://postman-echo.com,0.0421519,609.516,0.0691563
ballerina/http/Client#get#http://postman-echo.com,0.0583163,609.173,0.0957304
ballerina/http/Client#get#http://postman-echo.com,0.0564063999999999,580.4780000000001,0.0971723
